AnimeName,Character,Voice_Actor,Anime_Genre,Filename,Anime_image,Is_used
Puella Magi Madoka Magica,Kyuubey,"Katou, Emiri","Drama, Magic, Psychological, Thriller",Puella Magi Madoka - Kyubei.mp4,Kyuubey.jpg,X
Sailor Moon,"Sailor Moon, Usagi Tsukino, Serena",Stephanie Sheh,"Demons, Magic, Romance, Shoujo",Sailor Moon - Sailor Moon.avi,Sailor Moon.png,X
Saint Seiya (Knights of the Zodiac),"Seiya, Pegasus Seiya, Sagittarius Seiya","Furuya, Toru","Adventure, Fantasy, Sci-Fi, Shounen",Saint Seiya - Seiya.mp4,Seiya.png,X
Sakurasou no Pet na Kanojo,"Kanda, Sorata ""kouhai-kun""","Matsuoka, Yoshitsugu","Comedy, Drama, Romance, School, Slice of Life",Sakurasou na pet no kanojo - Sorata.avi,Sorata.jpg,X
Samurai Champloo,"Kasumi, Fuu","Kawasumi, Ayako","Action, Adventure, Comedy, Historical, Samurai, Shounen",Samurai Champloo - Fuu.mp4,Fuu.jpg,X
Shakugan no Shana,"Shana, Shana-tan","Kugimiya, Rie","Action, Drama, Fantasy, Romance, School, Supernatural",Shakugan no Shana - Shana.mp4,Shana.jpg,X
Shaman King,"Asakura, Yoh",Sebastian Arcelus,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",Shaman King - Yoh.mp4,Yoh.jpg,X
Shigatsu wa Kimi no Uso,"Arima, Kousei ""Human Metronome""","Hanae, Natsuki","Drama, Music, Romance, School, Shounen",Shigatsu wa Kimi no Uso - Arima Kousei.mp4,Arima.png,X
Shinsekai Yori,"Watanabe, Saki","Endou, Aya & Taneda, Risa","Drama, Horror, Mystery, Sci-Fi, Supernatural",Shinsekai Yori - Saki Watanabe.avi,Saki Watanabe.jpg,X
Shirobako,"Yasuhara, Ema","Yoshimura, Haruka","Comedy, Drama",Shirobako - Ema.avi,Ema.png,X
Shokugeki no Souma,"Yukihira, Souma","Matsuoka, Yoshitsugu","Ecchi, School, Shounen, Cooking",Shokugeki - Souma.mp4,Souma.jpg,X
Spice and Wolf,Holo,"Koshimizu, Ami","Adventure, Fantasy, Historical, Romance",Spice and Wolf - Holo.avi,Holo.jpg,X
Star Driver,"Tsunashi, Takuto ""Galactic pretty boy""","Miyano, Mamoru","Action, Mecha, Romance, Shounen",Star Driver - Takuto.mp4,Takuto.jpg,X
Steins;Gate,"Shiina, Mayuri ""Mayushii""","Hanazawa, Kana","Sci-Fi, Thriller",SteinsGate - Mayuri.mp4,Mayuri.jpg,X
