AnimeName,Character,Voice_Actor,Anime_Genre,Filename,Anime_image,Is_used,Is_played
Nagi no Asukara,"Mukaido, Manaka","Hanazawa, Kana","Drama, Fantasy, Romance",Nagi no Asukara - Manaka.avi,Manaka.png,X,FALSE
Nanatsu no Taizai,"Meliodas, Dragon sin of Wrath","Kaji, Yuki","Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",Nanatsu no Taizai - Meliodas.avi,Meliodas.png,X,FALSE
Naruto,"Uchiha, Sasuke",Yuri Lowenthal,"Action, Comedy, Martial Arts, Shounen, Super Power",Naruto - Sasuke.avi,Sasuke.jpg,X,FALSE
Natsume Yuujinchou,"Madara, Nyanko-sensei","Inoue, Kazuhiko","Drama, Fantasy, Shoujo, Slice of Life, Supernatural",Natsume Yuujinchou - Madara.mp4,Madara.jpg,X,FALSE
NHK ni Youkoso,"Nakahara, Misaki","Makino, Yui","Comedy, Drama, Psychological, Romance",NHK ni Youkoso - Misaki Nakahara.avi,MisakiNakahara.jpg,X,FALSE
Nisekoi,"Kirisaki, Chitoge","Touyama, Nao","Comedy, Harem, Romance, School, Shounen",Nisekoi - Chitoge.mp4,Chitoge.png,X,FALSE
No Game No Life,Shiro,"Kayano, Ai","Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",No Game No Life - Shiro.avi,Shiro.png,X,FALSE
Noragami,"Yato, Yatogami","Kamiya, Hiroshi","Action, Adventure, Shounen, Supernatural",Noragami - Yato.mp4,Yato.jpg,X,FALSE
One Piece,"Nami, Cat Buglar","Okamura, Akemi","Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",One Piece - Nami.mp4,Nami.png,X,FALSE
One Punch Man,"Saitama, Caped Baldy","Furukawa, Makoto","Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",One punch man -Saitama.avi,Saitama.jpg,X,FALSE
Ore Monogatari!!,"Gouda, Takeo","Eguchi, Takuya","Comedy, Romance, Shoujo",Ore Monogatari!!  - Gouda Takeo.avi,Gouda Takeo.png,X,FALSE
